date,3years,total,class
2020,12,16,0
2015,16,55,0
2015,6,7,0
2016,9,31,2
2020,47,47,2
2015,6,14,0
2014,9,24,1
2020,0,0,0
2014,20,29,0
2014,2,2,2
2014,5,10,0
2017,3,3,0
2014,2,2,2
2018,3,3,0
2019,17,23,0
2019,16,16,0
2013,8,12,0
2019,7,12,0
2019,6,6,0
2020,1,1,1
2019,22,24,0
2019,3,3,0
2012,3,11,0
2019,11,11,0
2020,41,41,0
2018,0,0,0
2013,5,13,2
2018,7,7,0
2019,13,13,0
2020,19,19,1
2018,0,0,0
2019,8,10,0
2018,143,243,2
2012,8,39,0
2020,0,0,2
2018,18,35,0
2019,0,0,0
2016,48,224,0
2018,6,8,0
2020,64,64,0
2020,2,2,0
2019,50,82,0
2018,28,36,0
2016,2,2,0
2019,4,4,0
2019,11,11,2
2012,28,103,2
2019,189,251,0
2018,11,18,0
2019,3,3,0
2020,3,3,2
2012,7,35,0
2015,10,15,0
2020,16,16,0
2015,5,8,0
2019,17,28,0
2020,9,9,0
2020,13,13,1
2015,3,4,0
2017,4,4,2
2020,5,5,0
2014,5,9,0
2017,86,312,2
2020,24,24,0
2020,4,4,0
2020,10,10,2
2017,67,163,0
2020,16,21,0
2016,5,43,0
2019,14,17,0
2017,96,236,2
2020,42,42,2
2019,29,54,0
2016,5,9,0
2015,13,70,2
2020,11,11,0
2016,12,33,0
2016,3,18,2
2020,13,13,1
2020,17,17,1
2015,6,7,0
2016,27,44,1
2020,13,13,0
2016,9,35,0
2020,34,53,0
2016,6,9,0
2015,9,10,0
2014,5,6,0
2017,9,25,0
2019,9,14,2
2020,9,9,0
2016,14,29,0
2014,6,6,0
2020,9,9,0
2019,23,29,2
2020,22,22,0
2014,31,3200,0
2020,173,173,0
2019,23,28,0
2019,8,8,0
2015,6,11,0
2020,537,540,0
2019,2,2,0
2020,12,23,0
2020,77,77,2
2012,8,23,0
2019,10,13,0
2019,27,45,0
2012,22,91,0
2019,294,357,2
2019,22,38,2
2013,1,1,0
2018,6,8,0
2020,7,7,0
